token,count
abzulegen,2
abzuliefern,1
abzumahlen,1
abzunehmen,3
abzunoethigen,1
abzupruegeln,1
abzurechnen,1
abzureissen,1
abzuschneiden,2
abzuschreiben,1
abzuschuetteln,3
abzuschwoeren,1
abzusingen,1
abzustehen,1
abzutrotzen,1
abzuwarten,2
abzuwehren,1
abzuweisen,1
abzuwenden,1
abzuziehen,1
ac,22
aca,1
acaba,7
acabada,1
acabado,1
acabados,2
acaban,4
acabando,1
acabara,1
acabaran,1
acabaren,1
acabas,3
acaben,3
acabo,6
acacia,4
acacias,1
acad,3
academe,1
academic,3
academical,2
academician,1
academick,1
academie,12
academies,5
academus,1
academy,40
acadia,2
acadica,2
acanthis,3
acariciar,1
acariciarla,1
acarides,1
acas,1
acaso,4
acastus,3
acc,38
acca,1
accablante,1
accable,3
accablee,1
accables,1
accalmie,1
accause,1
accede,4
acceded,4
acceding,1
accelerate,1
accelerated,7
accelerating,1
acceleration,9
accent,49
accented,3
accenting,1
accents,61
accentuate,3
accentuated,2
accentuates,1
accentuation,1
accepit,2
accepp,1
accept,131
accepta,1
acceptable,40
acceptance,23
acceptances,1
acceptation,1
accepted,105
accepting,24
accepts,12
acces,1
access,20
accesse,1
accessible,13
accession,15
accessories,5
accidence,2
accident,85
accidental,9
accidentally,30
accidently,1
accidents,21
accidit,1
accion,6
acciones,2
accipiter,5
accipitrine,1
accipitrinus,1
acclaim,1
acclaimed,3
acclamation,5
acclamations,8
acclimation,2
acclimatised,1
acclivity,4
acco,2
accolees,1
accoma,2
accommodate,15
accommodated,17
accommodates,3
accommodating,8
accommodation,38
accommodations,7
accommodavimus,1
accommodire,1
accommodirt,4
accommodo,1
accomodate,1
accomodirt,1
accompagne,2
accompagnee,3
accompagnees,1
accompagner,1
accompagnerent,1
accompanied,150
accompanies,1
accompaniment,16
accompaniments,7
accompany,30
accompanying,21
accompli,2
accomplice,5
accomplie,2
accomplies,1
accomplir,3
accomplish,45
accomplished,108
accomplishes,3
accomplishing,16
accomplishment,21
accomplishments,16
accomplissement,1
accomplissions,1
accomplit,1
accompt,1
accord,39
accorda,2
accordance,36
accorde,1
accorded,14
accordeon,2
accordes,1
accordin,7
according,346
accordingly,132
accordion,7
accords,6
accost,1
accosted,13
accosting,1
accouche,1
accoucherai,1
accoucheur,2
accoumpte,1
account,478
accountable,3
accountant,4
accountants,1
accounted,24
accounting,13
accounts,81
accoutred,2
accoutrement,1
accoutrements,2
accoutumes,2
accra,3
accredited,2
accretion,1
accretions,3
accroissent,1
accroitroit,1
accrue,3
accrued,2
accrues,1
accu,1
accueil,1
accueillante,1
accueille,1
accueilli,1
accum,1
accumulate,5
accumulated,12
accumulating,2
accumulation,16
accuracy,34
accurate,44
accurately,18
accuratiore,1
accursed,19
accurst,6
accusation,8
accusations,5
accusative,18
accusativo,2
accuse,12
accused,36
accusee,1
accuser,2
accuses,2
accusez,1
accusing,14
accustom,9
accustomed,99
ace,22
acentos,2
acentuacion,1
acequia,2
acerbe,1
acerca,2
acercan,1
acercarse,2
acerco,2
aceria,1
acerquemonos,2
acerrima,1
aces,4
acescence,1
acetate,1
acetum,1
acetylene,2
ach,137
achaddi,1
achadh,1
achaia,1
achaius,1
achard,1
acharna,2
acharnee,1
acharnement,1
achastlian,1
achat,2
achaterent,1
achateriez,1
achaterons,1
achaterunt,1
ache,28
ached,13
acheron,3
acherontine,1
acherontischen,1
achery,1
aches,8
acheta,3
achete,6
achetee,1
achetent,1
acheter,2
achetes,1
achetez,1
achevaient,1
achevait,4
achevant,1
acheve,2
achevee,1
achevent,1
achever,5
achevera,1
achieve,13
achieved,35
achievement,14
achievements,21
achieves,1
achieving,3
achille,10
achillean,1
achilles,15
achin,1
aching,43
achmet,4
achoison,1
achoisonner,1
achoisonnerent,1
achree,1
achromatic,3
achseln,9
achselzucken,1
acht,49
achte,14
achten,4
achtend,1
achter,6
achterover,1
achtest,2
achtet,1
achtete,2
achtets,1
achtte,1
achtten,1
achtung,8
achtungslos,1
achtungswuerdig,1
achtzehn,2
achtzehnten,1
achtzehnter,1
achtzig,5
aciagas,1
aciagos,1
acid,37
acida,1
acidi,9
acidity,1
acido,17
acidulous,1
acidulum,1
acidum,5
acier,2
ackazarpses,49
acker,1
ackerfeld,1
ackermann,2
acknolidge,1
acknowledg,2
acknowledge,52
acknowledged,57
acknowledgement,2
acknowledges,5
acknowledging,7
acknowledgment,19
acknowledgments,6
acksminister,1
acland,1
acme,5
acointes,1
acola,1
acolee,1
acolerent,1
acolytes,1
acomoda,1
acompana,2
acompanado,1
acompanan,6
acompanar,1
acompane,1
acomplie,2
acomplir,4
acomplissement,1
acompliz,1
aconitum,1
aconseja,2
aconta,1
acora,1
acorde,1
acordee,1
acordent,1
acorder,1
acordez,1
acorn,15
acorns,36
acosta,1
acostumbra,1
acostumbrada,1
acostumbrado,3
acousirent,1
acoustical,1
acquaint,7
acquaintance,126
acquaintances,24
acquaintanceship,3
acquaintanceships,1
acquainted,100
acquainting,2
acquaints,2
acquen,1
acquenin,1
acquent,1
acquerir,1
acquiesce,1
acquiesced,5
acquiescence,1
acquiescent,1
acquiescing,1
acquimbo,1
acquire,41
acquired,85
acquirement,5
acquirements,7
acquires,12
acquiring,9
acquis,2
acquisition,18
acquisitions,3
acquisitiveness,3
acquit,8
acquittal,1
acquitted,4
acquitting,1
acrass,1
acre,34
acreage,2
acres,53
acrid,5
acrimonious,2
acrimony,2
acrobat,1
acrobatic,1
acrobats,6
acropolis,2
across,479
acrost,21
acrostic,1
acroteria,1
acrue,1
act,470
acta,1
actable,1
actaeon,2
acte,2
acted,70
actenus,1
acteon,2
actes,8
acteur,1
acti,1
actif,2
actin,1
acting,78
actings,1
action,301
actions,62
actis,1
actitis,2
activa,4
activas,1
active,144
actively,9
activement,1
actividad,2
activite,10
activities,20
activity,68
activo,4
activos,2
activste,1
actly,1
acto,5
actodromas,5
acton,1
actor,51
actores,1
actors,45
actos,2
actours,2
actress,16
actresses,8
acts,114
actu,3
actual,113
actualities,2
actuality,4
actualized,1
actually,145
actualmente,1
actuarial,1
actuated,6
actuates,2
actuel,2
actuelle,2
actus,1
acu,1
acuaticos,1
acuerdo,3
acular,3
aculeata,1
aculla,2
acum,1
acumen,3
acuminata,1
acumula,1
acus,14
acusa,2
acusarte,1
acusativo,11
acusativos,2
acuser,1
acuserunt,1
acusez,1
acushla,1
acuso,1
acuta,1
acute,34
acutely,8
acuteness,5
acutenesse,1
acuter,1
acutest,1
acutus,1
ad,864
ada,5
adad,1
adage,7
adair,10
adalrich,1
adam,90
adamant,3
adamantine,3
adamite,1
adams,34
adamses,1
adamson,1
adan,2
adans,6
adante,1
adapt,12
adaptability,3
adaptable,1
adaptation,31
adaptations,2
adapted,72
adapter,5
adapting,3
adcock,2
adcocks,1
adcurate,2
add,350
addas,1
adde,6
addebatur,2
added,350
addenda,1
adder,6
adders,1
addicted,14
addicti,1
addictos,1
adding,51
addington,2
addio,7
addison,10
addition,85
additional,55
additionally,2
additions,29
addito,1
additur,2
addle,1
addled,1
address,257
addressed,166
addressee,2
addresses,18
addressin,6
addressing,53
addrest,2
adds,45
adduce,2
adduced,5
adduces,1
adducing,1
ade,5
adel,11
adela,20
adelaide,19
adelaiden,1
adelanta,1
adelante,3
adelphi,4
adelphoi,1
adels,1
adelszeichen,1
ademar,1
ademas,1
ademhalingen,1
aden,8
adequacy,1
adequate,42
adequately,8
ader,3
adern,14
ades,13
adesse,1
adest,1
adeuntibus,1
adfusa,1
adfuso,1
adgiud,1
adhaerebat,1
adhaerens,1
adhemar,2
adhere,9
adhered,10
adherence,8
adherent,1
adherents,12
adheres,2
adhering,11
adhesion,7
adhesive,3
adhesiveness,1
adhibetur,1
adhuc,3
adiabene,1
adieu,70
adieus,2
adige,2
adipose,6
adirez,2
adirondack,3
adirondacks,10
adivinar,1
adj,12
adjacent,35
adjecta,1
adjectival,1
adjective,5
adjectives,12
adjerned,1
adjetivo,11
adjetivos,13
adjoignant,1
adjoignit,1
adjoin,1
adjoined,2
adjoinin,1
adjoining,64
adjoins,2
adjoint,1
adjoints,1
adjourn,2
adjourned,7
adjournment,3
adjourns,1
adjudab,1
adjude,1
adjudged,5
adjudges,1
adjudh,1
adjudicate,1
adjudicated,1
adjudication,1
adjunct,2
adjuncts,1
adjunctus,2
adjungere,1
adjungitur,1
adjured,1
adjuring,1
adjust,10
adjusted,12
adjustin,1
adjusting,7
adjustment,8
adjustments,2
adjusts,3
adjutant,14
adjutantial,1
adjutants,2
adjutum,1
adjuvant,1
adler,4
adlerauge,1
adlerkraft,1
adlersauge,1
adligabatur,1
adliges,1
admeasurement,1
admettait,1
admetus,175
administer,12
administered,30
administering,7
administers,1
administrateur,1
administration,53
administrations,1
administrative,17
administrativos,1
administrator,4
administrators,2
admir,8
admira,1
admirable,77
admirables,3
admirably,22
admiracion,4
admirado,2
admirador,1
admirados,1
admirait,2
admiral,45
admirals,1
admiralty,16
admirandonos,1
admirar,2
admiration,141
admire,61
admired,56
admireis,1
admirer,21
admirers,18
admires,5
admiring,40
admiringly,5
admis,1
admiscebatur,1
admission,34
admissions,2
admistum,1
admit,117
admite,5
admiten,2
admits,20
admittance,22
admitted,115
admittedly,2
admitting,15
admixture,2
admodum,1
admondt,1
admonish,2
admonished,4
admonishes,1
admonishing,1
admonition,8
admonitions,7
admonitory,1
adn,51
adnot,1
ado,8
adobe,2
adobes,2
adoe,1
adole,1
adolee,1
adolescence,3
adolescent,1
adolph,4
adolphus,12
adonc,17
adonde,9
adonis,8
adonques,5
adopt,52
adoptar,1
adoptaremos,1
adopte,3
adopted,97
adoptif,1
adopting,18
adoption,34
adopts,4
ador,1
adora,2
adorable,10
adoracion,1
adorado,2
adoraient,1
adorant,1
adorateurs,1
adoration,19
adore,29
adored,29
adorent,1
adorer,3
adorers,3
adores,5
adoring,13
adoringly,1
adorn,32
adorna,1
adornaban,1
adornado,1
adornaran,1
adorne,3
adorned,40
adorning,12
adornings,1
adornment,7
adornments,4
adorns,6
adoro,1
adosser,1
adoucir,2
adoucisse,1
adoucit,1
adoun,1
adouques,1
adown,11
adquiera,1
adquiri,1
adrak,2
adrar,8
adressa,2
adresse,21
adrets,3
adria,6
adrian,15
adriana,87
adrianus,1
adriatic,3
adrien,1
adrift,6
adroit,6
adroitly,1
adroitness,6
ads,1
adscendentes,1
adscripririos,1
adscripti,1
adsederunt,1
adsidere,1
adsir,1
adsit,1
adsonat,1
adtulit,1
adulation,1
adulatory,1
adullam,1
adult,4
adulterate,1
adulterated,9
adulteration,1
adulterer,1
adulterous,1
adultery,4
adults,2
adust,1
adux,1
adv,8
advance,209
advanced,138
advancement,14
advances,11
advancing,57
advantage,184
advantageous,11
advantageously,7
advantages,83
advent,25
adventitious,5
adventoor,3
adventure,78
adventured,2
adventurer,12
adventurers,8
adventures,79
adventuresome,2
adventuresses,1
adventurings,1
adventurous,22
adverb,1
adverbiar,1
adverbio,35
adverbios,29
adversaire,1
adversaires,1
adversaria,1
adversaries,5
adversary,17
adverse,17
adversely,1
adversity,10
advert,3
adverted,2
advertencia,1
advertencias,1
advertido,2
advertir,6
advertira,2
advertirle,1
advertise,8
advertised,14
advertisement,28
advertisements,21
advertiser,10
advertisers,2
advertises,3
advertising,35
advertizing,1
advice,169
advices,6
advienne,1
adviertase,1
advierte,1
advierto,4
advirtiendo,1
advisability,3
advisable,17
advise,43
advised,46
advisedly,2
adviser,8
advisers,5
advises,8
advising,9
advisory,1
advocate,16
advocated,8
advocates,20
advocating,3
advokat,3
advokaten,1
advokatenschreiber,1
advowson,3
advt,1
adwanced,1
adwenture,1
adze,1
adzooks,1
ae,17
aeacus,6
aechmophorus,2
aechter,1
aechzen,3
aechzt,1
aecker,1
aedhan,3
aediculis,1
aedificium,1
aedon,1
aeffchen,1
aeffest,3
aefft,2
aeffte,1
aefften,1
aefter,1
aegean,2
aegeon,25
aegeons,1
aeghain,1
aegialitis,3
aegis,2
aegisthus,2
aegle,1
aegypt,1
aegypter,2
aegypti,1
aegyptische,4
aehnlich,9
aehnlichen,3
aehnlicher,3
aehnliches,3
aehnlichkeit,5
aehre,1
aehren,2
aeise,1
aeisiez,1
aelian,1
aelpler,1
aelred,2
aelter,10
aeltere,1
aelterer,1
aeltern,3
aeltest,1
aelteste,1
aeltesten,4
aeltester,2
aeltsten,1
aemilia,5
aemter,1
aemtern,1
aen,1
aend,1
aendere,2
aendern,7
aendernden,1
aendert,3
aenderte,2
aenderung,1
aeneas,6
aeneid,4
aengsten,2
aengstet,3
aengstige,1
aengstigte,1
aengstlich,7
aengstliche,1
aengstlichen,2
aengstlicher,2
aengstliches,1
aenigmaticorum,1
aeoli,1
aeolian,3
aeolipile,9
aeolus,3
aeon,1
aeonian,1
aepfel,1
aequabile,1
aequalem,1
aequali,1
aequalia,1
aequator,1
aeque,1
aer,3
aera,4
aerated,2
aere,2
aerea,1
aereas,1
aerem,1
aereos,2
aerger,5
aergere,1
aergeres,1
aergerlich,1
aergerliche,1
aergern,1
aergernis,2
aergers,2
aergert,3
aergre,4
aergste,5
aergsten,1
aergstes,2
aerial,33
aeris,2
aerme,1
aermel,5
aermeln,1
aermer,1
aermlich,1
aermlicher,1
aermste,1
aermsten,3
aero,2
aerodrome,2
aeronaut,8
aeronautic,2
aeronautical,1
aeronauts,6
aeroplane,11
aeroplanes,7
aerostation,1
aerschot,4
aerzte,1
aesch,1
aeschylus,3
aesculapius,3
aesop,1
aestate,2
aesthete,1
aesthetic,6
aesthetical,3
aesthetically,1
aesthetics,1
aesthetische,1
aesthetisches,1
aestiva,1
aestivos,1
aet,1
aetatem,1
aeternall,1
aeterni,1
aether,6
aetherial,4
aethers,3
aethiop,1
aethiopia,1
aetna,3
aetnae,1
aeusseren,1
aeusserlich,1
aeusserliche,1
aeusserlichen,2
aeussern,2
aeusserst,3
aeusserste,3
aeussersten,17
aeusserstes,1
aeusserte,1
aeussre,1
aeussres,1
aevi,1
af,9
afar,67
afeard,7
afeared,2
afectado,1
afectionate,1
afeire,3
afeires,1
aff,5
affability,4
affable,7
affably,6
affair,136
affaire,7
affaires,8
affairs,130
affame,1
affames,1
affane,1
affe,4
affeckshuns,1
affect,46
affectation,13
affectations,1
affected,102
affectent,1
affectin,2
affecting,30
affectingly,2
affection,166
affectionate,59
affectionately,23
affectioned,1
affectionnait,1
affections,47
affects,7
affectueux,1
affectus,1
affee,6
affektiert,1
affektierten,1
affektion,1
affen,7
afferment,1
affermer,1
affermoient,1
afferroit,1
affiance,1
affianced,1
afficiebatur,1
afficit,1
affidavit,3
affidavits,1
affidavy,1
affiliate,1
affinis,2
affinities,10
affinity,18
affinitye,1
affirm,19
affirmation,2
affirmative,11
affirme,2
affirmed,6
affirmer,1
affirming,2
affirms,4
affix,3
affixed,9
afflatus,2
afflict,2
afflicted,32
afflicting,6
affliction,32
afflictions,5
afflictive,2
afflicts,2
afflige,2
affligeait,1
affliger,1
affluaient,1
affluence,7
affluent,3
afford,117
afforded,58
affording,25
affords,37
affranchi,2
affranchir,6
affranchira,1
affranchiroient,1
affranchis,7
affranchissement,13
affranchissent,1
affray,4
affrays,2
affres,1
affreuse,3
affreuses,1
affreux,4
affright,17
affrighted,13
affrightedly,1
affrighting,1
affrights,2
affrike,1
affront,5
affronted,2
affronter,1
affronts,1
afgebrokene,1
afgekeerd,1
afgezanten,1
afghan,16
afghanised,1
afghanistan,10
afghans,6
afgrijselijk,1
afgrijselijke,1
afgrijselijken,1
afgrijzen,1
afi,1
aficionado,1
afield,3
afilada,2
afin,4
afire,3
afirmativos,1
aflame,2
aflige,1
afligen,1
afligia,1
afloat,16
aflower,1
afoot,4
afore,235
aforehead,1
aforementioned,1
aforesaid,16
aforetime,3
afoul,2
afoursaid,1
afra,3
afrade,2
afraid,357
afraide,2
afresh,12
afric,6
africa,59
africaine,3
africaines,2
africains,2
african,33
africaner,1
africans,6
africanus,2
afright,1
afrika,1
afrique,20
afritic,1
afschrik,2
afsmeekt,1
aft,15
aftaire,1
after,3066
afternoon,252
afternoons,8
afterthought,1
afterthoughts,2
aftertimes,1
afterward,40
afterwarde,2
afterwards,293
afterword,2
afterworld,1
afther,12
ag,6
aga,6
again,2334
againe,17
against,1182
agallas,6
agamemnon,14
agan,1
agape,2
agar,3
agares,1
agarra,1
agas,2
agasajos,1
agassiz,4
agata,2
agate,5
agatha,5
agatho,1
agathon,1
agave,1
agayne,1
agaynst,3
age,632
aged,159
agelaius,3
agen,2
agencies,5
agency,31
agenouilla,3
agenouille,2
agens,1
agenst,1
agent,67
agenten,4
agentry,1
agents,84
ager,2
ages,155
agettin,1
aggera,1
agglomerated,2
agglomerating,1
agglomeration,1
aggrandise,1
aggrandizement,2
aggravate,4
aggravated,8
aggravates,1
aggravating,7
aggravation,1
aggraverent,1
aggraviren,1
aggregate,8
aggregation,1
aggressed,1
aggression,6
aggressions,1
aggressive,8
aggressively,3
aggressor,4
aggressors,4
aggrieved,5
aghast,23
agib,7
agiemuk,1
agieren,1
agile,4
agiles,1
agility,9
agin,272
agincourt,4
aginst,1
agir,3
agissait,5
agissant,1
agissent,1
agit,2
agitacion,2
agitaciones,2
agitaient,1
agitas,1
agitate,6
agitated,53
agitaters,1
agitates,2
agitating,1
agitation,25
agitators,4
agite,2
agitee,1
agitions,1
aglai,2
aglaia,3
aglow,5
agmire,2
agnes,26
agnese,2
agni,1
agnoscibiles,1
agnosticism,3
agnus,1
ago,428
agog,3
agoing,2
agolo,1
agon,1
agone,3
agonia,1
agonie,1
agonies,18
agonistes,1
agonize,1
agonized,9
agonizing,12
agonizingly,1
agony,70
agoras,1
agostino,5
agouz,1
agradable,3
agrandie,1
agrarian,2
agrarva,1
agrati,1
agreable,3
agreables,1
agree,116
agreeable,82
agreeableness,2
agreeably,17
agreed,128
agreeing,18
agreement,33
agreements,1
agreer,1
agrees,24
agreeth,1
agrega,1
agriarlos,1
agricola,1
agricole,1
agricoltural,1
agriculteur,1
agricultural,39
agriculture,53
agriculturist,8
agriculturists,3
agrigentum,1
agrippa,4
aground,2
agtstein,1
agua,41
aguarda,1
aguardad,1
aguardar,1
aguas,11
ague,7
agues,1
aguila,1
aguis,1
aguistac,1
agustin,9
agusty,1
agzam,1
ah,630
aha,11
ahab,2
ahades,1
ahead,87
ahem,1
ahhhh,1
ahi,5
ahinco,2
ahint,1
ahitophel,1
ahmad,1
ahmbahmbahmbah,1
ahmed,4
ahn,2
ahndung,1
ahne,1
ahnen,6
ahnend,1
ahnet,1
